Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Team
KS Williamson,17,17,3,735,84,52.5,516,142.44,0,8,1,63,28,SRH
RR Pant,14,14,1,684,128*,52.61,394,173.6,1,5,1,68,37,DD
KL Rahul,14,14,2,659,95*,54.91,416,158.41,0,6,0,66,32,KXIP
AT Rayudu,16,16,2,602,100*,43,402,149.75,1,3,1,53,34,CSK
SR Watson,15,15,1,555,117*,39.64,359,154.59,2,2,1,44,35,CSK
JC Buttler,13,13,3,548,95*,54.8,353,155.24,0,5,0,52,21,RR
V Kohli,14,14,3,530,92*,48.18,381,139.1,0,4,0,52,18,RCB
SA Yadav,14,14,0,512,72,36.57,384,133.33,0,4,1,61,16,MI
KD Karthik,16,16,6,498,52,49.8,337,147.77,0,2,0,49,16,KKR
S Dhawan,16,16,3,497,92*,38.23,363,136.91,0,4,1,59,14,SRH
CA Lynn,16,16,1,491,74,32.73,377,130.23,0,3,1,56,18,KKR
AB de Villiers,12,11,2,480,90*,53.33,275,174.54,0,6,0,39,30,RCB
MS Dhoni,16,15,9,455,79*,75.83,302,150.66,0,3,0,24,30,CSK
SK Raina,15,15,3,445,75*,37.08,336,132.44,0,4,0,46,12,CSK
SV Samson,15,15,1,441,92*,31.5,320,137.81,0,3,1,30,19,RR
SS Iyer,14,14,3,411,93*,37.36,310,132.58,0,4,0,29,21,DD
E Lewis,13,13,0,382,65,29.38,276,138.4,0,2,2,32,24,MI
AM Rahane,15,14,1,370,65*,28.46,313,118.21,0,1,0,39,5,RR
CH Gayle,11,11,2,368,104*,40.88,252,146.03,1,3,1,30,27,KXIP
SP Narine,16,16,0,357,75,22.31,188,189.89,0,2,0,40,23,KKR
RV Uthappa,16,16,0,351,54,21.93,265,132.45,0,1,0,30,21,KKR
AD Russell,16,14,3,316,88*,28.72,171,184.79,0,1,1,17,31,KKR
N Rana,15,15,2,304,59,23.38,232,131.03,0,1,0,26,14,KKR
KK Nair,13,12,0,301,54,25.08,221,136.19,0,2,0,23,13,KXIP
RG Sharma,14,14,2,286,94,23.83,215,133.02,0,2,3,25,12,MI
MK Pandey,15,13,2,284,62*,25.81,246,115.44,0,3,1,22,5,SRH
Ishan Kishan,14,12,0,275,62,22.91,184,149.45,0,2,3,22,17,MI
HH Pandya,13,13,4,260,50,28.88,195,133.33,0,1,0,20,11,MI
YK Pathan,15,13,4,260,45*,28.88,200,130,0,0,0,22,11,SRH
Mandeep Singh,14,13,3,252,47*,25.2,186,135.48,0,0,0,16,11,RCB
PP Shaw,9,9,0,245,65,27.22,160,153.12,0,2,0,27,10,DD
Shakib Al Hasan,17,13,2,239,35,21.72,197,121.31,0,0,0,26,5,SRH
KH Pandya,14,13,3,228,41*,22.8,157,145.22,0,0,0,22,10,MI
RA Tripathi,12,12,3,226,80*,25.11,167,135.32,0,1,0,18,8,RR
V Shankar,13,11,7,212,54*,53,148,143.24,0,1,0,11,11,DD
Shubman Gill,13,11,5,203,57*,33.83,139,146.04,0,1,0,22,5,KKR
Q de Kock,8,8,0,201,53,25.12,162,124.07,0,1,0,20,8,RCB
BA Stokes,13,13,1,196,45,16.33,161,121.73,0,0,1,13,6,RR
GJ Maxwell,12,12,0,169,47,14.08,120,140.83,0,0,0,14,9,DD
F du Plessis,6,6,1,162,67*,32.4,129,125.58,0,1,0,17,6,CSK
PA Patel,6,6,1,153,53,30.6,109,140.36,0,1,0,20,4,RCB
AD Hales,6,6,0,148,45,24.66,118,125.42,0,0,0,13,6,SRH
DJ Bravo,16,10,6,141,68,35.25,91,154.94,0,1,1,8,10,CSK
AJ Finch,10,9,1,134,46,16.75,100,134,0,0,2,6,8,KXIP
KA Pollard,9,8,1,133,50,19,100,133,0,1,1,10,7,MI
C de Grandhomme,9,8,3,131,40,26.2,84,155.95,0,0,0,4,10,RCB
BB McCullum,6,6,0,127,43,21.16,88,144.31,0,0,1,16,6,RCB
K Gowtham,15,13,4,126,33*,14,64,196.87,0,0,1,9,9,RR
WP Saha,11,10,2,122,35,15.25,102,119.6,0,0,1,17,1,SRH