Match#,DATE,Team A,Team B,Winner,Score A,Score B,Wkt A,Wkt B,Overs A,Overs B
1,07-Apr-18,MI,CSK,CSK,165,169,4,9,20,19.5
2,08-Apr-18,DD,KXIP,KXIP,166,167,7,4,20,18.5
3,08-Apr-18,RCB,KKR,KKR,176,177,7,6,20,18.5
4,09-Apr-18,RR,SRH,SRH,125,127,9,1,20,15.5
5,10-Apr-18,KKR,CSK,CSK,202,205,6,5,20,19.5
6,11-Apr-18,RR,DD,RR,153,60,5,4,17.5,6
7,12-Apr-18,MI,SRH,SRH,147,151,8,9,20,20
8,13-Apr-18,KXIP,RCB,RCB,155,159,10,6,19.2,19.3
9,14-Apr-18,MI,DD,DD,194,195,7,3,20,20
10,14-Apr-18,KKR,SRH,SRH,138,139,8,5,20,19
11,15-Apr-18,RR,RCB,RR,217,198,4,6,20,20
12,15-Apr-18,KXIP,CSK,KXIP,197,193,7,5,20,20
13,16-Apr-18,KKR,DD,KKR,200,129,9,10,20,14.2
14,17-Apr-18,MI,RCB,MI,213,167,6,8,20,20
15,18-Apr-18,RR,KKR,KKR,160,163,8,3,20,18.5
16,19-Apr-18,KXIP,SRH,KXIP,193,178,3,4,20,20
17,20-Apr-18,CSK,RR,CSK,204,140,5,10,20,18.3
18,21-Apr-18,KKR,KXIP,KXIP,191,126,7,1,20,11.1
19,21-Apr-18,DD,RCB,RCB,174,176,5,4,20,18
20,22-Apr-18,CSK,SRH,CSK,182,178,3,6,20,20
21,22-Apr-18,MI,RR,RR,167,168,7,7,20,19.4
22,23-Apr-18,KXIP,DD,KXIP,143,139,8,8,20,20
23,24-Apr-18,SRH,MI,SRH,118,87,10,10,18.4,18.5
24,25-Apr-18,RCB,CSK,CSK,205,207,8,8,20,19.4
25,26-Apr-18,SRH,KXIP,SRH,132,119,6,10,20,9.2
26,27-Apr-18,DD,KKR,DD,219,164,4,9,20,20
27,28-Apr-18,CSK,MI,MI,169,170,5,2,20,19.4
28,29-Apr-18,SRH,RR,SRH,151,140,7,6,20,20
29,29-Apr-18,RCB,KKR,KKR,175,176,4,4,20,19.1
30,30-Apr-18,CSK,DD,CSK,211,198,4,5,20,20
31,01-May-18,RCB,MI,RCB,167,153,7,7,20,20
32,02-May-18,DD,RR,DD,196,146,6,5,17.1,12
33,03-May-18,CSK,KKR,KKR,177,180,5,4,20,17.4
34,04-May-18,KXIP,MI,MI,174,176,6,4,20,19
35,05-May-18,RCB,CSK,CSK,127,128,9,4,20,18
36,05-May-18,DD,SRH,SRH,163,164,5,3,20,19.5
37,06-May-18,MI,KKR,MI,181,168,4,6,20,20
38,06-May-18,RR,KXIP,KXIP,152,155,9,4,20,18.4
39,07-May-18,SRH,RCB,SRH,146,141,10,6,20,20
40,08-May-18,RR,KXIP,RR,158,143,8,7,20,20
41,09-May-18,MI,KKR,MI,210,108,6,10,20,18.1
42,10-May-18,DD,SRH,SRH,187,191,5,1,20,18.5
43,11-May-18,CSK,RR,RR,176,177,4,6,20,19.5
44,12-May-18,KKR,KXIP,KKR,245,214,6,8,20,20
45,12-May-18,DD,RCB,RCB,181,187,4,5,20,19
46,13-May-18,SRH,CSK,CSK,179,180,4,2,20,19
47,13-May-18,MI,RR,RR,168,171,6,3,20,18
48,14-May-18,KXIP,RCB,RCB,88,92,10,0,15.1,8.1
49,15-May-18,RR,KKR,KKR,142,145,10,4,19,18
50,16-May-18,MI,KXIP,MI,186,183,8,5,20,20
51,17-May-18,RCB,SRH,RCB,218,204,6,3,20,20
52,18-May-18,DD,CSK,DD,162,128,5,6,20,20
53,19-May-18,RR,RCB,RR,164,134,5,10,20,19.2
54,19-May-18,SRH,KKR,KKR,172,173,9,5,20,19.4
55,20-May-18,DD,MI,DD,174,163,4,10,20,19.3
56,20-May-18,KXIP,CSK,CSK,153,159,10,5,19.4,19.1
57,22-May-18,SRH,CSK,CSK,139,140,7,8,20,19.1
58,23-May-18,KKR,RR,KKR,169,144,7,4,20,20
59,25-May-18,SRH,KKR,SRH,174,160,7,9,20,20
60,27-May-18,SRH,CSK,CSK,178,181,6,2,20,18.3